"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"23","ADANIPOWER.NS-RELINFRA.NS",0.333333333333333,-31851.67424636,-191110.04547816,37.6666666666667,6
"24","ADANIPOWER.NS-RPOWER.NS",0.2,-57107.5770491022,-285537.885245511,49.8,5
"25","ADANIPOWER.NS-SUZLON.NS",0.5,-19617.5585678126,-156940.468542501,17.625,8
"26","ADANIPOWER.NS-TATAPOWER.NS",0.538461538461538,-14863.6089751747,-193226.916677271,24,13
"27","ADANIPOWER.NS-TORNTPOWER.NS",0.25,-68691.6810558132,-549533.448446506,41.5,8
"28","AJANTPHARM.NS-AUROPHARMA.NS",0.55,-2108.54195266711,-42170.8390533421,24.05,20
"29","AJANTPHARM.NS-BIOCON.NS",0.4,-44748.1852465367,-447481.852465367,33.7,10
"30","AJANTPHARM.NS-CADILAHC.NS",0.642857142857143,21532.8093377832,301459.330728965,45.5,14
"31","AJANTPHARM.NS-CIPLA.NS",0.5,-14558.9943466933,-116471.954773547,32.5,8
"32","AJANTPHARM.NS-DIVISLAB.NS",0.2,-41889.5058621326,-209447.529310663,12.2,5
"33","AJANTPHARM.NS-DRREDDY.NS",0.625,8655.86146252693,69246.8917002155,16,8
"34","AJANTPHARM.NS-GLENMARK.NS",0.5,-13058.7651567501,-130587.651567501,20.3,10
"35","AJANTPHARM.NS-GRANULES.NS",0.428571428571429,-42059.8593337708,-294419.015336396,25.1428571428571,7
"36","AJANTPHARM.NS-LUPIN.NS",0.5,-2311.03546786142,-27732.425614337,13.8333333333333,12
"37","AJANTPHARM.NS-PEL.NS",0.555555555555556,-1554.54995444357,-13990.9495899921,23.1111111111111,9
"38","AJANTPHARM.NS-STAR.NS",0.666666666666667,8657.84402212289,155841.192398212,15.2777777777778,18
"39","AJANTPHARM.NS-SUNPHARMA.NS",0.615384615384615,-12802.8332466391,-166436.832206308,25.6923076923077,13
"40","AJANTPHARM.NS-TORNTPHARM.NS",0.5,-16013.7069767298,-288246.725581136,32.4444444444444,18
