"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"ULTRACEMCO.NS",0.152531416174483,0.269147185274786,0.307396089737057,0.337417452399777,32,28,0.0514255893985792,1.11718934145308,-0.198500998636388,1.81606947509423
"VOLTAS.NS",0.333505856780767,0.375301565819127,0.702659559514283,0.699628395535124,37,23,0.262856050104479,1.45864850010321,0.105290452208547,2.10217685728436
"BALRAMCHIN.NS",0.175362258985193,0.529476530450338,0.199377364352916,0.202386600733302,31,29,0.166227328046725,0.909842054910874,0.107206167053138,0.431943341619901
"ICICIBANK.NS",0.137955334250934,0.28067950348046,0.242834655001451,0.260591607842036,31,29,-0.00290447614638341,1.56142601288031,0.0684586744607318,1.18078633953962
"IGL.NS",0.323423157968267,0.267789884303507,0.94711021206288,1.12681684583938,36,24,0.26930623790155,0.774578983087452,0.578868189199082,0.264385934688159
"INDIANB.NS",0.186020365104269,0.540509199294888,0.215026388817449,0.242685803491446,30,30,0.0881812128137714,1.5115450953462,0.277471067805056,1.24713919893938
"YESBANK.NS",0.214471075809466,0.453058859602216,0.319328159875765,0.289033643482013,33,27,0.10022818278997,1.51636272849049,-0.0171196865218578,1.27980005489046
"INDIGO.NS",-0.00439348154253059,0.39210185297992,-0.189211310367381,-0.179976142457777,17,19,0.0221065629176525,0.703306782824287,-0.0983380867734226,2.10852624134769
"ZEEL.NS",0.114622609427903,0.212602479503769,0.210844133498596,0.211348906098175,32,28,0.0384378710475558,0.911084134682658,-0.195473860950978,1.54776734065889
"BIOCON.NS",0.324224015170857,0.304726119607542,0.834937916189321,1.08171592319141,33,27,0.281583582196382,0.838236357396123,0.270695541800064,1.0452319865914
"INFIBEAM.NS",-0.0210414557240154,1.1090485546472,-0.0819063143815108,-0.0527516732941253,21,10,0.234213936720035,1.09232792142007,0.602759413923168,-1.45930470100826
"CANBK.NS",0.0247360514788901,0.42682711746548,-0.105571015838825,-0.113429914386041,27,33,-0.0990067490889078,1.78983131965529,-0.247548601092958,2.32657378360958
"BAJAJ_AUTO.NS",0.0610792620843836,0.228323836559993,-0.0381798147063111,-0.0395572416999783,30,30,-0.0119685672060964,0.828456809163674,0.0676333639356506,0.397952814484266
"BATAINDIA.NS",0.130165518911193,0.288163189745006,0.209495512273219,0.220780295802202,30,30,0.0582359224748863,0.962614695178196,0.0818776382564418,1.61644915945142
"IOC.NS",0.244565092576441,0.300782319947763,0.581046348567011,0.765105134437421,31,29,0.162361048747,1.05806578892575,0.184393950042245,0.528413734501865
"ITC.NS",0.0763880750865405,0.183654542580238,0.0358904883955295,0.0365535888594797,30,30,0.00804712934411018,0.80859080824504,0.00607821767051285,0.467659509799731
